WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1277.6884,1.07265,0.10744816,1.0005223,,,
1277.7867,1.01987,0.10653788,1.0033945,,,
1277.885,1.16814,0.11018292,1.0062672,,,
1277.9833,0.947978,0.098567001,1.005554,,,
1278.0816,1.02468,0.10157198,1.002853,,,
1278.1799,1.03751,0.102102,1.0001514,,,
1278.2782,1.01602,0.10128741,0.99730784,,,
1278.3765,0.905565,0.097097877,0.99411268,,,
1278.4748,1.09367,0.10398194,0.99091677,,,
1278.5732,0.815582,0.093637085,0.98772012,,,
1278.6715,1.0175,0.10147804,0.96635633,,,
1278.7698,1,0.10080555,0.94363759,,,
1278.8681,0.93785,0.098624176,0.92091376,,,
1278.9664,0.827731,0.094186799,0.92020863,,,
1279.0647,1.03278,0.10209173,0.94419744,,,
1279.163,0.987773,0.10044945,0.96819157,,,
1279.2613,1.0979,0.10430697,0.99018211,,,
1279.3596,0.938988,0.098501453,0.99673592,,,
1279.4579,1.00744,0.10105613,1.0032912,,,
1279.5562,1.09994,0.10452088,1.0098478,,,
1279.6546,1.04689,0.10256865,1.0100014,,,
1279.7529,1.19551,0.10784515,1.008119,,,
1279.8512,0.99379,0.10064318,1.0062362,,,
1279.9495,1.07959,0.10382071,1.0060701,,,
1280.0478,1.05092,0.10283152,1.0084663,,,
1280.1461,1.01942,0.10164839,1.0108631,,,
1280.2444,0.909234,0.09722582,1.0131644,,,
1280.3427,0.915236,0.097387945,1.013427,,,
1280.441,1.07592,0.10361294,1.0136896,,,
1280.5393,1.01772,0.10152117,1.0139522,,,
1280.6376,1.08175,0.10391024,1.0140972,,,
1280.736,0.980979,0.1092297,1.0141889,,,
1280.8343,0.949717,0.14019051,1.0142807,,,
1280.9326,0.997664,0.10563528,1.0133604,,,
1281.0309,0.934746,0.09940696,1.0090365,,,
1281.1292,1.14529,0.11040787,1.0047117,,,
1281.2275,1.1082,0.10961848,1.0003858,,,
1281.3258,0.986357,0.10529888,0.997708,,,
1281.4241,1.07223,0.1093262,0.99526966,,,
1281.5224,1.13042,0.10760921,0.99283075,,,
1281.6207,0.953141,0.099348451,0.99269599,,,
1281.719,1.01698,0.1018317,0.99471797,,,
1281.8174,0.917998,0.098071971,0.99674037,,,
1281.9157,0.951634,0.099238279,0.99834239,,,
1282.014,0.935297,0.098774325,0.99771952,,,
1282.1123,0.873058,0.096331238,0.99709649,,,
1282.2106,0.987394,0.10068932,0.99647329,,,
1282.3089,0.923497,0.098404843,0.99960597,,,
1282.4072,1.03098,0.10219345,1.0036625,,,
1282.5055,1.00388,0.10132499,1.0077198,,,
1282.6038,0.925165,0.098493581,1.0103461,,,
1282.7021,1.04765,0.10303607,1.0102489,,,
1282.8004,0.991407,0.10111211,1.0101517,,,
1282.8987,0.847523,0.095342766,1.0100544,,,
1282.9971,0.916594,0.098188003,1.0070565,,,
1283.0954,0.97399,0.10054747,1.0040198,,,
1283.1937,1.03646,0.10271803,1.0009824,,,
1283.292,1.17585,0.10779298,0.9941253,,,
1283.3903,1.09518,0.10495027,0.98503037,,,
1283.4886,1.09473,0.10486545,0.9759334,,,
1283.5869,1.03611,0.10277866,0.96850142,,,
1283.6852,0.961681,0.099857289,0.96550408,,,
1283.7835,0.851496,0.095814953,0.96250605,,,
1283.8818,0.851456,0.095637487,0.95950732,,,
1283.9801,0.915473,0.098196136,0.94689804,,,
1284.0785,1.06613,0.10386699,0.93210458,,,
1284.1768,1.03809,0.102281,0.91730783,,,
1284.2751,1.1936,0.10763407,0.9186559,,,
1284.3734,1.41986,0.11489181,0.93906222,,,
1284.4717,1.45511,0.1164172,0.95947302,,,
1284.57,1.75635,0.12509935,0.97861378,,,
1284.6683,2.09852,0.13464842,0.98643071,,,
1284.7666,2.00103,0.13196663,0.99424933,,,
1284.8649,1.89845,0.12943307,1.0020697,,,
1284.9632,1.88613,0.12922587,1.0035638,,,
1285.0615,1.75297,0.12567066,1.0015447,,,
1285.1599,1.79395,0.12693697,0.99952508,,,
1285.2582,1.20342,0.10894877,0.99801994,,,
1285.3565,1.071,0.10452386,0.99779578,,,
1285.4548,1.02052,0.10262664,0.99757155,,,
1285.5531,0.990538,0.1014655,0.99734724,,,
1285.6514,1.04517,0.10523713,0.991539,,,
