WAVE,FLUX,ERR,CONT,Z,Transition,SplineRanges
1344.2724,0.937974,0.087542023,0.91617802,,,
1344.3706,0.937809,0.087480273,0.91998419,,,
1344.4688,0.904957,0.086584729,0.9237908,,,
1344.567,0.927334,0.087339436,0.91604272,,,
1344.6652,0.90298,0.086522975,0.8999435,,,
1344.7634,0.91986,0.087093268,0.88384238,,,
1344.8617,0.86742,0.085470777,0.86824005,,,
1344.9599,0.84275,0.084548431,0.88158039,,,
1345.0581,0.899706,0.087990788,0.89492229,,,
1345.1563,0.899676,0.090295263,0.90826574,,,
1345.2545,0.993883,0.092930034,0.90841977,,,
1345.3527,0.951936,0.092003276,0.89267636,,,
1345.4509,0.914355,0.08982785,0.87693109,,,
1345.5491,0.903327,0.08686468,0.86118397,,,
1345.6473,0.953693,0.088115086,0.87563066,,,
1345.7456,0.909648,0.086711938,0.89036376,,,
1345.8438,0.860109,0.085174486,0.90509857,,,
1345.942,1.09774,0.092592247,0.91295912,,,
1346.0402,0.958463,0.088268103,0.91159856,,,
1346.1384,0.92956,0.087370933,0.91023783,,,
1346.2366,0.983488,0.089190171,0.90887693,,,
1346.3348,0.947646,0.088072369,0.90613832,,,
1346.433,0.837296,0.084510269,0.90318184,,,
1346.5312,0.883288,0.086001478,0.90022502,,,
1346.6295,0.904519,0.086816202,0.89931622,,,
1346.7277,0.938277,0.087805569,0.90318438,,,
1346.8259,0.984952,0.089241362,0.90705298,,,
1346.9241,1.03755,0.090792689,0.91092202,,,
1347.0223,0.859382,0.084954058,0.89750594,,,
1347.1205,0.994432,0.089590507,0.87790713,,,
1347.2187,0.926456,0.087528435,0.85830601,,,
1347.3169,0.934816,0.08771139,0.84469666,,,
1347.4151,1.01674,0.090359074,0.85997186,,,
1347.5133,0.918119,0.087263603,0.87524884,,,
1347.6116,0.970058,0.089002803,0.89052759,,,
1347.7098,0.932694,0.087688812,0.89255884,,,
1347.808,0.99802,0.090023611,0.8860598,,,
1347.9062,0.759643,0.08218919,0.87956,,,
1348.0044,0.939771,0.088150015,0.87399169,,,
1348.1026,0.93545,0.087869146,0.88828652,,,
1348.2008,0.926381,0.087556322,0.90258301,,,
1348.299,0.914449,0.087171421,0.91688116,,,
1348.3972,0.94522,0.088250121,0.92248966,,,
1348.4955,0.99051,0.089677353,0.91873231,,,
1348.5937,1.06984,0.092070543,0.91497451,,,
1348.6919,0.991811,0.08974532,0.91121626,,,
1348.7901,0.942809,0.088097442,0.91198993,,,
1348.8883,0.985477,0.089626058,0.9131696,,,
1348.9865,0.911102,0.087213548,0.9143494,,,
1349.0847,0.960951,0.088774795,0.91604108,,,
1349.1829,0.923607,0.087538906,0.91867079,,,
1349.2811,0.86292,0.085640448,0.92130078,,,
1349.3794,0.956215,0.088824053,0.92393108,,,
1349.4776,0.916803,0.08752552,0.92382485,,,
1349.5758,0.875021,0.086333546,0.92298902,,,
1349.674,0.886021,0.086670524,0.92215308,,,
1349.7722,0.752366,0.084150749,0.92014023,,,
1349.8704,0.964058,0.09210294,0.91571541,,,
1349.9686,0.90999,0.090294573,0.91129007,,,
1350.0668,0.929284,0.091001357,0.90686421,,,
1350.165,0.831556,0.085302612,0.90486661,,,
1350.2633,0.937405,0.088509208,0.90361725,,,
1350.3615,1.0061,0.090595806,0.90236774,,,
1350.4597,0.948994,0.088810921,0.90241756,,,
1350.5579,0.977097,0.08976802,0.90763574,,,
1350.6561,0.960159,0.08921188,0.91285452,,,
1350.7543,0.87824,0.086316724,0.9180739,,,
1350.8525,0.998288,0.090279371,0.91896343,,,
1350.9507,0.925399,0.088189239,0.91607759,,,
1351.0489,0.830087,0.085019302,0.91319141,,,
1351.1472,0.812756,0.084409923,0.91030488,,,
1351.2454,0.982769,0.090018223,0.89337843,,,
1351.3436,0.821097,0.084675178,0.87602675,,,
1351.4418,0.909077,0.087633318,0.85867303,,,
1351.54,0.860202,0.085958451,0.85943213,,,
1351.6382,0.937669,0.088660656,0.87765641,,,
1351.7364,1.0114,0.090820477,0.89588281,,,
1351.8346,0.819551,0.084840125,0.91411131,,,
1351.9328,0.939828,0.088523306,0.91503589,,,
1352.031,0.978121,0.089809569,0.91496555,,,
1352.1293,0.974084,0.089809538,0.91489518,,,
1352.2275,0.914741,0.087888393,0.91215345,,,
1352.3257,0.992386,0.090276575,0.90254865,,,
